subset,condition,method,mse_norm_mean,mse_norm_std,mse_norm_median,mse_norm_q025,mse_norm_q975,mse_norm_n,psnr_norm_db_mean,psnr_norm_db_std,psnr_norm_db_median,psnr_norm_db_q025,psnr_norm_db_q975,psnr_norm_db_n,gfc_mean,gfc_std,gfc_median,gfc_q025,gfc_q975,gfc_n,low_frequency_nrmse_mean,low_frequency_nrmse_std,low_frequency_nrmse_median,low_frequency_nrmse_q025,low_frequency_nrmse_q975,low_frequency_nrmse_n,peak_amplitude_ratio_mean,peak_amplitude_ratio_std,peak_amplitude_ratio_median,peak_amplitude_ratio_q025,peak_amplitude_ratio_q975,peak_amplitude_ratio_n,peak_location_error_samples_mean,peak_location_error_samples_std,peak_location_error_samples_median,peak_location_error_samples_q025,peak_location_error_samples_q975,peak_location_error_samples_n
all,Sparse acquisition,DnResUnet,0.0011038106261973249,0.002158735854541098,0.0005294924194458872,3.571931883925572e-05,0.006079096626490364,240,33.39400466779919,5.864012889592251,32.761403845623505,22.165027886524697,44.47111162182757,240,0.9842804269631479,0.060880103449096404,0.9988003951774039,0.901419559345186,0.9999494120089941,240,0.10847515603912375,0.1450603967102677,0.0535205283756163,0.009183354154809822,0.48260357422392836,240,0.9920219133127947,0.16691428974003575,0.9775273285619215,0.7624387834480149,1.4030979518443616,240,40.545833333333334,93.14898975399399,4.0,0.0,349.42500000000007,240
all,Sparse acquisition,No denoise,0.028254995372987642,0.03052414950253401,0.013771653270118919,0.0006034850875129695,0.09809332052311232,240,19.075161589295377,6.564223718941243,18.61046970186486,10.08360608998798,32.193340384982804,240,0.8479719494998937,0.22266934205208866,0.9655521485676997,0.2264335734490411,0.9990035485102117,240,0.23365152517611829,0.47939672144080525,0.08477881654220898,0.014349137994166514,1.2308463305492918,240,2.1066408917469537,3.007154891428398,1.299092356297971,0.9546745693859292,7.717480817863731,240,70.0125,119.21530332144907,15.0,0.0,431.8000000000002,240
all,Sparse acquisition,Savitzky-Golay,0.0037128906590188525,0.003986631656590504,0.001817030933595106,8.020188277612181e-05,0.013425441802291993,240,27.496772285485637,6.1141243341229785,27.407437422641348,18.72125758478241,40.95815437180244,240,0.9498308069856874,0.11060511493698277,0.9952583574778997,0.618435428950056,0.9998645276660072,240,0.23104657698926717,0.4709018299467307,0.08415136071012504,0.014253449508117709,1.2212326706540892,240,1.247657038889505,0.8654336274033467,1.027614363257225,0.8720362379227814,3.166477639320594,240,47.86666666666667,98.32853592060698,9.0,0.0,364.025,240
all,Sparse acquisition,TCN,0.0012548564660657272,0.0021839164304404204,0.0005811969458591193,3.117329988526763e-05,0.006365836260374638,240,32.75189689749542,6.0423137113188075,32.3567672898269,21.96167366705064,45.06219096272339,240,0.9826442412363235,0.05308674515450884,0.998534819031959,0.8509219709106854,0.9999565091825275,240,0.11787089526004695,0.16977313370542754,0.0556580982384141,0.008352023451988258,0.5292984074980842,240,1.0226427133273552,0.36214470448702324,0.9858975207655396,0.7921679095698384,1.547715435654332,240,40.225,94.17663121023595,4.0,0.0,327.97500000000025,240
all,Sparse acquisition,UNet1D,0.0012305958940184306,0.002210990600966314,0.0005859336815774441,0.00012048583503201372,0.0070605678483843925,240,32.09274103434079,4.690714036188728,32.321551846741684,21.515428832787123,39.19070790720815,240,0.9875183998445608,0.03465777569140485,0.9986253065884474,0.9123857272503981,0.9998805289718343,240,0.11436756650030272,0.13469637643166682,0.058619339216985894,0.02279533474983902,0.45462572300438,240,0.9449726229283484,0.10950348291092957,0.963509855274143,0.7194516678470549,1.0627016273364864,240,38.85,92.41693318731667,5.0,0.0,349.42500000000007,240
all,Sparse acquisition,Wavelet,0.0015327101102686304,0.0023635660559070374,0.0007654671459736794,3.690231465856558e-05,0.006360032230363926,240,31.453263536920325,5.758642463239948,31.1611533070079,21.9668350356719,44.33187268830453,240,0.9764537124639268,0.06284250942997396,0.998123689010656,0.8097250866868733,0.9999383832949604,240,0.15994442951251575,0.29852776129011804,0.06411831367299345,0.011344649944560014,0.7940179441501882,240,1.039617702845207,0.4029834302435935,0.97582561472222,0.8103386016176665,1.745749435010889,240,40.270833333333336,88.52112236017548,6.0,0.0,323.05000000000024,240
all,Sparse acquisition,Wiener,0.002877610856549397,0.0031681576443402045,0.0014654195844393029,7.063453294174472e-05,0.009978249466141308,240,28.46742391011541,5.9234221188895875,28.34053187450007,20.009478272020115,41.50983731893496,240,0.9580959231465911,0.09674741104282235,0.9958929036938684,0.6603043318961329,0.9998889986907852,240,0.1826866026228873,0.34628519985480727,0.07239666955858479,0.011877626615339629,0.9184088882929148,240,1.3415068437895001,1.2010198090669133,1.046146535561395,0.8679913589590563,3.704110026098536,240,75.65833333333333,124.39762780994651,10.5,0.0,427.9000000000002,240
all,Unseen noise,BasicCNN,0.004235076326585841,0.003973216015096872,0.0030820221873000264,0.0002045015702606179,0.013973382278345527,240,26.355091283429285,5.497212411662477,25.111644192835833,18.546987709043982,36.893033691656086,240,0.9112911989695197,0.17803605603562025,0.9890226671876224,0.35114135650503586,0.9996584978796058,240,0.3852854371598956,0.7989011430804729,0.14165707260417765,0.022656700354773483,2.26018180888669,240,1.3993926272701747,1.2610058464867018,1.0612396093690573,0.9394359746597543,3.971286957264206,240,51.8125,99.14763436200377,11.0,0.0,354.125,240
all,Unseen noise,DnCNN,0.0021476848207385045,0.002180864159996881,0.001350510399788618,0.00010767579387902516,0.007285220536869022,240,29.434948955819614,5.527317932383651,28.69503796688749,21.375720449413787,39.67882021674929,240,0.9386653938780773,0.15039589782890142,0.9948985156503014,0.4728746501609538,0.9998472145065986,240,0.28225303583495476,0.5554202636327031,0.10135395273371077,0.017451212160206026,1.5567588934111027,240,1.2142290163732667,0.7115587292153147,1.0273976363753452,0.8783501266203902,2.488151318713513,240,44.854166666666664,97.86776784297396,5.0,0.0,328.2000000000007,240
all,Unseen noise,DnResUnet,0.0013663711456653497,0.0017579549856252957,0.0006303720583673567,5.2579927341867005e-05,0.005895442178007216,240,32.09476804812282,5.914992207766124,32.0041039869106,22.294853810802312,42.792071127888065,240,0.9389371722356574,0.16820619422397523,0.9979553623523907,0.3641559818069829,0.9999208736179871,240,0.2049512452157759,0.35177199853937247,0.06673070859428687,0.013018853422142023,1.1745029929523718,240,1.401345009778709,2.05914274478415,0.9985671235840833,0.8071150611777923,4.421345277653665,240,53.55833333333333,104.24811855929114,5.0,0.0,349.05,240
