noise_std,sample_index,method,mse,psnr,gfc
0.01,15,DnResUnet,1.8786138753057458e-05,47.2616247432007,0.9999802708625793
0.01,15,BasicCNN,7.592773181386292e-05,41.195995735902315,0.9999209046363831
0.01,15,DnCNN,2.6642786906450056e-05,45.744203487664386,0.9999721050262451
0.01,15,UNet1D,0.00013421688345260918,38.72192849821981,0.9999340772628784
0.01,15,TCN,2.831388519553002e-05,45.48000533206122,0.9999700784683228
0.01,16,No Denoise,0.00029024528339505196,35.37234828995575,0.9995457530021667
0.01,16,Wavelet,0.0002664998173713684,35.74303084253297,0.9995842576026917
0.01,16,S-G Filter,0.00019404561317060143,37.1209617099836,0.9997016787528992
0.01,16,Wiener,0.00011293282295810059,39.47179815755634,0.9998264908790588
0.01,16,DnResUnet,5.8566572988638654e-05,42.32350187883728,0.9999224543571472
0.01,16,BasicCNN,0.00014038660447113216,38.5267433011088,0.9997721314430237
0.01,16,DnCNN,5.7577297411626205e-05,42.397487240839084,0.9999149441719055
0.01,16,UNet1D,0.00029424691456370056,35.31288082418205,0.9997559785842896
0.01,16,TCN,6.324773858068511e-05,41.98954998049178,0.9999197721481323
0.01,17,No Denoise,0.0006616230821236968,31.793893519076132,0.9992240071296692
0.01,17,Wavelet,0.0003136941231787205,35.03493617403499,0.9996811747550964
0.01,17,S-G Filter,0.0003167957183904946,34.99220696690965,0.9996760487556458
0.01,17,Wiener,0.00022391417587641627,36.499184106191954,0.9997777342796326
0.01,17,DnResUnet,0.00012229985441081226,39.125740599597776,0.9999305009841919
0.01,17,BasicCNN,0.0002617116551846266,35.82176935863537,0.999704897403717
0.01,17,DnCNN,0.00020167598268017173,36.95345818249948,0.9998385906219482
0.01,17,UNet1D,0.0005243930500000715,32.80343072829817,0.9998266696929932
0.01,17,TCN,0.00011573200754355639,39.365465133288225,0.9999147653579712
0.01,18,No Denoise,0.0010903080692514777,29.62450773736037,0.996874213218689
0.01,18,Wavelet,0.0009579065954312682,30.186768365023035,0.9972699880599976
0.01,18,S-G Filter,0.0007264201412908733,31.388121227328178,0.9979642629623413
0.01,18,Wiener,0.0005209337687119842,32.8321748919827,0.9985089898109436
0.01,18,DnResUnet,0.00036187973455525935,34.41435736917373,0.9989555478096008
0.01,18,BasicCNN,0.0005326372920535505,32.7356843014999,0.9983648061752319
0.01,18,DnCNN,0.0004304849717300385,33.66042005206004,0.9987691044807434
0.01,18,UNet1D,0.0006658013444393873,31.76655332216273,0.9982244968414307
0.01,18,TCN,0.0002807100536301732,35.51742032830762,0.9993025660514832
0.01,19,No Denoise,0.0008804411627352238,30.552996613357834,0.9982696175575256
0.01,19,Wavelet,0.0007653110660612583,31.161620069180387,0.998505711555481
0.01,19,S-G Filter,0.0005168539937585592,32.86632123560702,0.9990156292915344
0.01,19,Wiener,0.0003250178706366569,34.880927593118415,0.9994405508041382
0.01,19,DnResUnet,5.569815402850509e-05,42.54159198156952,0.9999300241470337
0.01,19,BasicCNN,0.0004263325536157936,33.702515045193536,0.9992773532867432
0.01,19,DnCNN,0.00013595983909908682,38.66589358052056,0.9997827410697937
0.01,19,UNet1D,7.49950049794279e-05,41.24967661703139,0.9998518228530884
0.01,19,TCN,5.562610022025183e-05,42.547213860809656,0.999925971031189
0.01,20,No Denoise,3.417428888496943e-05,44.663005136744616,0.9999253153800964
0.01,20,Wavelet,1.6554549802094698e-05,47.81082625309047,0.9999640583992004
0.01,20,S-G Filter,1.6639154637232423e-05,47.78868742090445,0.9999638795852661
0.01,20,Wiener,3.663961615529843e-05,44.36049084745154,0.9999253749847412
0.01,20,DnResUnet,3.414957973291166e-05,44.66614636661819,0.9999354481697083
0.01,20,BasicCNN,3.37933270202484e-05,44.71169048964797,0.9999390244483948
0.01,20,DnCNN,1.7996117094298825e-05,47.44821189698381,0.9999606013298035
0.01,20,UNet1D,8.412146416958421e-05,40.75093176841196,0.999897301197052
0.01,20,TCN,1.534595139673911e-05,48.14006181618241,0.9999669790267944
0.01,21,No Denoise,7.514729804825038e-05,41.240866300315744,0.9998034834861755
0.01,21,Wavelet,2.460439645801671e-05,46.089872836747176,0.9999363422393799
0.01,21,S-G Filter,1.9989252905361354e-05,46.99203437254682,0.9999489784240723
0.01,21,Wiener,7.73638894315809e-05,41.11461704434209,0.9997962117195129
0.01,21,DnResUnet,2.5322822693851776e-05,45.96487885856975,0.9999359250068665
0.01,21,BasicCNN,5.866070569027215e-05,42.31652716746744,0.9998490214347839
0.01,21,DnCNN,2.8899723474751227e-05,45.39106312743943,0.9999291896820068
0.01,21,UNet1D,0.00014667725190520287,38.336372354280044,0.9998452067375183
0.01,21,TCN,1.4954208381823264e-05,48.25236571900825,0.9999638795852661
0.01,22,No Denoise,0.0001204445943585597,39.19212686682074,0.9997602105140686
0.01,22,Wavelet,4.9766509619075805e-05,43.030628174904784,0.9999014735221863
0.01,22,S-G Filter,4.968544817529619e-05,43.037707883802526,0.9999018907546997
0.01,22,Wiener,4.6935896534705535e-05,43.284948821476135,0.999906063079834
0.01,22,DnResUnet,4.552725295070559e-05,43.41728553608836,0.9999307990074158
0.01,22,BasicCNN,6.167157698655501e-05,42.09914946209622,0.9998760223388672
0.01,22,DnCNN,7.861006452003494e-05,41.04521847272388,0.9998459219932556
0.01,22,UNet1D,0.00018541159806773067,37.31863102881523,0.9997074007987976
0.01,22,TCN,2.9697879654122517e-05,45.27274556992106,0.9999454617500305
0.01,23,No Denoise,0.00029286788776516914,35.333282450167346,0.9991331696510315
0.01,23,Wavelet,0.00025470860418863595,35.93956384095944,0.9992521405220032
0.01,23,S-G Filter,0.0001997548679355532,36.99502628325416,0.9994223117828369
